454 1196
3894635412 198521214 42.64686575613177  West Loop Road
2305177560 7234367431 140.18809805884126  Thresher Street
7933475790 7933475788 48.55357861599459 
9365635994 9365636000 82.59163005557058 
12075173711 12075173712 143.19674819268937 
5546400172 5803662949 24.013854612145824 
8341654023 198588890 152.76334227915817  North Pearl Street
11331352914 11331370033 130.21109257387647 
11331379378 11331370037 310.2447273996251 
198594372 7200521410 61.00670414875962  Sheppard Place
8137815384 8137815385 50.612664023980386 
6829774077 6829774076 26.312947675109072 
6956911693 9365640254 15.103123411328417 
8137726013 8137727124 17.885107315487218 
5803662949 4256589581 29.22068636975693 
198620124 3894638310 139.0242261121606  West College Street
11329562486 11329562485 79.78152173583236 
198590598 198655341 6.216292787381205 
198519718 198625971 177.3366895516586  West College Street
198521222 4256589577 122.6703004502215 
5803664457 7019373489 37.10129967260674  North Prospect Street
7200521424 7200521424 82.59538768040062 
11329762269 5999570838 61.72186861359014 
198378319 8341654023 48.83741896187236 
8133088560 7234367504 9.851170003079346 
8137726008 3894645113 107.50885817162677 
5546400206 5546400204 69.17965405259834 
198551736 198512576 143.28363062354424  East College Street
3894630214 5546400174 26.48957507999824 
5546400187 3531016709 12.468417077665219  Chapel Drive
7234367431 7234367436 86.09442269882359 
198348039 198262337 79.68309859665678  Sunset Hill Road
198582604 5506729666 223.78741235408634  Cherry Street
5546400175 3894630213 17.983511149361732 
7234367432 198398653 30.38288463465824 
4256592592 3894630218 29.26314477797212 
10313376799 10313376798 29.134419244809088 
10313376800 10313376793 63.40136937079501  Washington Drive
198409946 198409938 82.07287323946122  Chapel Drive
4256589587 4256589585 21.948680517705498 
7234367537 7234367536 6.094576239867347 
3894630237 3894630238 3.957238106742247 
3894630222 3894630223 3.985559030167965  Herrick Hall
7234367508 7234367521 146.54876791510767 
9365640207 9365640221 6.907135132516893 
11331352914 11331352913 35.21765521058638 
5546400184 5546400187 20.80100027575197  Chapel Drive
6829774058 198548549 80.22377447117985  North Pearl Street
8317381120 8317358606 24.509244540559074 
3894630229 3894630228 3.7853652742173685 
